obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type
ics456mbq,DARK,233.3883117159,57.28076732833,WFC3/UVIS,F275W,14013,"McCullough, Peter",WFC3 UVIS CTE in subarrays,57211.069330983795,57211.0797474537,900.0,2,image
ics456mgq,BIAS,233.3883117159,57.28076732833,WFC3/UVIS,F275W,14013,"McCullough, Peter",WFC3 UVIS CTE in subarrays,57211.082378935185,57211.082378935185,0.0,2,image
ics456mhq,BIAS,233.3883117159,57.28076732833,WFC3/UVIS,F275W,14013,"McCullough, Peter",WFC3 UVIS CTE in subarrays,57211.08294633102,57211.08294633102,0.0,2,image
hst_17203_07_wfc3_uvis_f275w_iezr07,SN-2017GAX,71.45595833333,-59.24515555556,WFC3/UVIS,F275W,17203,"Fox, Ori Dosovitz",,60101.02778019,60101.13227109,4986.557983,3,image
hst_17796_04_wfc3_uvis_f275w_ifgq04,SN2024ABFL,94.50472083333,78.36707777778,WFC3/UVIS,F275W,17796,"Valenti, Stefano",,60666.92209478,60666.93624975,1092.0,3,image
hst_17179_04_wfc3_uvis_f275w_if0g04,SN2016ECM-HOST,35.06041666667,-40.88475,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60096.14805797,60096.17037257,1650.0,3,image
hst_15654_26_wfc3_uvis_f275w_idxr26,NGC-4303,185.4806916667,4.474611111111,WFC3/UVIS,F275W,15654,"Lee, Janice",,58937.68147839,58937.87605003,2190.0,3,image
ics456mjq,BIAS,233.3883117159,57.28076732833,WFC3/UVIS,F275W,14013,"McCullough, Peter",WFC3 UVIS CTE in subarrays,57211.08449707176,57211.08449707176,0.0,2,image
ics456miq,BIAS,233.3883117159,57.28076732833,WFC3/UVIS,F275W,14013,"McCullough, Peter",WFC3 UVIS CTE in subarrays,57211.083513391204,57211.083513391204,0.0,2,image
icu110030,ABELL370,39.96944892006,-1.576508560437,WFC3/UVIS,F275W,14209,"Siana, Brian",The Final UV Frontier: Legacy Near-UV Imaging of the Frontier Fields,57620.95062619213,57621.179850775465,11120.0,3,image
icu102030,MACSJ0416,64.03646518372,-24.07453922935,WFC3/UVIS,F275W,14209,"Siana, Brian",The Final UV Frontier: Legacy Near-UV Imaging of the Frontier Fields,57598.963183217595,57599.19273190972,11080.0,3,image
ictj52kwq,NGC-5139-HSS,201.5263341217,-47.62904640449,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57572.96173584491,57572.977106018516,1328.0,3,image
ictj51noq,NGC-5139-HSS,201.5106838185,-47.62513588744,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57574.42600659722,57574.441377118055,1328.0,3,image
ictj49ndq,NGC-5139-HSS,201.5105923465,-47.62230377812,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57574.35667809028,57574.37204822917,1328.0,3,image
ictj30j5q,NGC-5139,201.3877042387,-47.45907819042,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57418.87680158565,57418.89217210648,1328.0,3,image
ictj29iuq,NGC-5139,201.3928083025,-47.46978504907,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57418.81542453704,57418.83079467592,1328.0,3,image
hst_17015_11_wfc3_uvis_f275w_iev511,GD-71,88.11558886452,15.88591132333,WFC3/UVIS,F275W,17015,"Calamida, Annalisa",,59885.68056293,59885.69685346,11.0,3,image
hst_17833_ax_wfc3_uvis_f275w_ifcpax,IC-1613-F29-F32,16.15907375,2.062722222222,WFC3/UVIS,F275W,17833,"Dalcanton, Julianne",,60855.02777306,60855.04305063,1182.0,3,image
hst_17179_1m_wfc3_uvis_f275w_if0g1m,IPTF13DKL-HOST,356.241625,3.394527777778,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60251.65505428,60251.67736888,1650.0,3,image
ictj28gbq,NGC-5139,201.3844691601,-47.46087837242,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57418.1445912037,57418.159961377314,1328.0,3,image
ictj27fqq,NGC-5139,201.3895727384,-47.47158534949,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57418.078051585646,57418.09342210648,1328.0,3,image
ictj08mpq,NGC-5139,201.4039959794,-47.67453234243,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57260.37065185185,57260.386022025465,1328.0,3,image
ictj07lbq,NGC-5139,201.3988696315,-47.66382598165,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57257.035663344905,57257.051033483796,1328.0,3,image
ictj06n8q,NGC-5139,201.4072436072,-47.67273160953,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57257.387411111114,57257.40278128472,1328.0,3,image
hst_17179_0b_wfc3_uvis_f275w_if0g0b,SN2016JHR-HOST,184.5827041667,0.2548277777778,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60024.44272033,60024.46503531,1650.0,3,image
hst_17179_06_wfc3_uvis_f275w_if0g06,ASASSN-14LV-HOST,353.0307083333,-41.26993333333,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60046.0720607,60046.09437568,1650.0,3,image
hst_17179_2t_wfc3_uvis_f275w_if0g2t,PGC019085-HOST,96.90516833333,-54.45098333333,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60091.19818537,60091.22049998,1650.0,3,image
hst_17179_61_wfc3_uvis_f275w_if0g61,LSQ14WP-HOST,153.5241808333,6.675525,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60348.29042819,60348.31274279,1650.0,3,image
hst_17179_4i_wfc3_uvis_f275w_if0g4i,SN2008O-HOST,104.39640875,-45.81163888889,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60096.88320834,60096.90552294,1650.0,3,image
hst_17179_3s_wfc3_uvis_f275w_if0g3s,SN2007IF-HOST,17.71404166667,15.46108055556,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60176.6309774,60176.65329201,1650.0,3,image
hst_17179_3y_wfc3_uvis_f275w_if0g3y,SN20080612-HOST,243.8682916667,19.22663888889,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60069.04927235,60069.07158696,1650.0,3,image
hst_17179_0r_wfc3_uvis_f275w_if0g0r,ASASSN-14FA-HOST,43.09608333333,-31.82166666667,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60096.21771056,60096.24002553,1650.0,3,image
ictj05mxq,NGC-5139,201.4021167714,-47.66202541854,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57257.321102974536,57257.33647349537,1328.0,3,image
ictj50b9q,NGC-5139-HSS,201.5262417648,-47.62621429286,WFC3/UVIS,F275W,14118,"Bedin, Luigi R.",The end of the White Dwarf Cooling Sequences of Omega Centauri,57570.89244178241,57570.90781230324,1328.0,3,image
icur41030,REFSDALREAPPEARANCE,177.4000416667,22.39670277778,WFC3/UVIS,F275W,14199,"Kelly, Patrick",Refsdal Redux: Precise Measurements of the Reappearance of the First Supernova with Multiple Resolved Images,57538.368332638885,57538.40031168982,2493.0,3,image
icvc01030,SN2014C,339.2733333333,34.40886111111,WFC3/UVIS,F275W,14202,"Milisavljevic, Dan",The Unprecedented Supernova Metamorphosis of SN 2014C,57256.477619247686,57256.558093865744,1944.0,3,image
hst_17179_4s_wfc3_uvis_f275w_if0g4s,SN2011GF-HOST,318.09844375,-7.817136111111,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60058.1628605,60058.1851751,1650.0,3,image
hst_17179_3m_wfc3_uvis_f275w_if0g3m,SN2006HB-HOST,75.50310375,-21.13687777778,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60193.07839729,60193.1007119,1650.0,3,image
hst_17179_4q_wfc3_uvis_f275w_if0g4q,SN2010KO-HOST,83.20780041667,-14.08854166667,WFC3/UVIS,F275W,17179,"Galbany, Lluis",,60190.11009877,60190.13241338,1650.0,3,image
