cubename,zalpha,zbeta,zoiii,zobs,zhelio,ezhelio,zcmb,notes
SN2008go,0.062046,0.062148,0.062186,0.062127,0.062223,0.000203,0.061104,
SN2006py,0.057854,0.057806,0.057808,0.057823,0.057921,0.000192,0.056634,
SN2004ef,0.030937,0.031103,0.030994,0.031012,0.031100,0.000208,0.029867,
SN2005ku,0.045296,0.045407,0.045317,0.045340,0.045437,0.000198,0.044156,
SN2007hj,0.014014,0.014150,0.014233,0.014132,0.014223,0.000220,0.012984,
SN2012gm,0.014679,0.014760,0.014693,0.014711,0.014804,0.000195,0.013559,
ASASSN-14mf,0.031204,0.031227,0.031194,0.031209,0.031141,0.000191,0.030184,
ASASSN-14kp,0.022687,0.022650,0.022698,0.022678,0.022600,0.000192,0.021778,
ASASSN-13cu,0.027175,0.027219,0.027145,0.027180,0.027088,0.000194,0.025967,
ASASSN-14lw,0.020838,0.020865,0.020840,0.020848,0.020783,0.000191,0.020145,
ASASSN-14ig,0.029123,0.029062,0.029159,0.029115,0.029074,0.000196,0.028695,
ASASSN-13ar,0.017707,0.017771,0.017714,0.017731,0.017632,0.000193,0.016597,
ASASSN-14me,0.017854,0.017907,0.017842,0.017868,0.017820,0.000193,0.017398,
ASASSN-14mw,0.026760,0.026676,0.026909,0.026782,0.026746,0.000223,0.026473,
ASASSN-14hr,0.033485,0.033568,0.033599,0.033551,0.033458,0.000199,0.032552,
ASASSN-13bb,0.017226,0.017263,0.017263,0.017251,0.017157,0.000191,0.016201,
ASASSN-14fa,0.022374,0.022316,0.022254,0.022315,0.022245,0.000200,0.021716,
ASASSN-14mg,0.032266,0.032326,0.032293,0.032295,0.032223,0.000193,0.031612,
ASASSN-13dm,0.016988,0.017036,0.016987,0.017004,0.016928,0.000192,0.016242,
ASASSN-14lt,0.031891,0.031896,0.031894,0.031894,0.031811,0.000190,0.031224,
ASASSN-14ko,0.043023,0.043076,0.043076,0.043058,0.043060,0.000192,0.043224,
ASASSN-13cc,0.010177,0.010331,0.010217,0.010242,0.010256,0.000205,0.010402,
ASASSN-14hu,0.021619,0.021654,0.021630,0.021634,0.021641,0.000191,0.021955,
ASASSN-14jc,0.011082,0.011173,0.011115,0.011124,0.011142,0.000196,0.011610,
ASASSN-14dd,0.017809,0.017871,0.017845,0.017842,0.017853,0.000193,0.018245,
ASASSN-13dd,0.012591,0.012671,0.012676,0.012646,0.012710,0.000195,0.013764,
ASASSN-14ba,0.032622,0.032694,0.032621,0.032646,0.032733,0.000194,0.033935,
ASASSN-15aj,0.011080,0.011235,0.011111,0.011142,0.011223,0.000205,0.012345,
ASASSN-14dp,0.009186,0.009255,0.009204,0.009215,0.009296,0.000194,0.010367,
ASASSN-14dl,0.013226,0.013449,0.013360,0.013345,0.013438,0.000221,0.014585,
