sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes,obs_id,target_name,proposal_id,proposal_pi,instrument_name,filters,sep_arcsec,t_exptime,calib_level,t_min,t_max,obs_title
SN1999gn,NGC4303,185.48757916666662,4.462669444444445,II      ,arx  ,,hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,,,WFC3/UVIS,F275W,33.90645819352338,3048.0,3,57812.13591229,58937.87605003,
SN1999gu,HUDF09-2-03,53.25062083333333,-27.861138888888892,II      ,arx  ,,hst_skycell-p0647x16y20_wfc3_uvis_f275w_all,GDS-1,,,WFC3/UVIS,F275W,111.94570346268814,42012.0,3,57070.46394558,58930.19230003,
SN2000ft,NGC7469,345.81462916666663,8.873969444444445,II      ,SV   ,,hst_15649_23_wfc3_uvis_f275w_idy423,ARP298-UVIS,15649,"Chandar, Rupali",WFC3/UVIS,F275W,32.03034562146299,2420.0,3,58754.63773226,58754.67042909,
SN2001cp,SN2001cp,257.76075,5.840780555555555,Ia      ,P97  ,COMBINED WITH ARX 22 POINTINGS TOTAL,hst_16287_33_wfc3_uvis_f275w_iebj33,SN2001CP-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,64.0447372464156,1500.0,3,59140.38503755,59140.40561623,
SN2001db,NGC3256,156.95999999999995,-43.90583055555555,II      ,arx  ,,hst_15649_11_wfc3_uvis_f275w_idy411,NGC-3256,15649,"Chandar, Rupali",WFC3/UVIS,F275W,13.308956563131906,2480.0,3,58657.14284579,58657.1762367,
SN2001du,NGC1365,53.37124999999999,-36.142,II      ,arx  ,PHANGS,hst_15654_09_wfc3_uvis_f275w_idxr09,NGC-1365-N,15654,"Lee, Janice",WFC3/UVIS,F275W,100.0478423639707,2190.0,3,58684.8835411,58685.02251089,
SN2002ao,SN2002ao,217.39892083333328,-0.0155,Ibn     ,P111 ,,hst_17506_31_wfc3_uvis_f275w_if8c31,SN2020MJM,17506,"Jacobson-Galan, Wynn Vicente",WFC3/UVIS,F275W,98.64718125477519,1136.0,3,60344.93782271,60344.96117954,
SN2002cr,SN2002cr,211.6566208333333,-5.439419444444445,Ia      ,P97  ,I TRIED TO COMBINE WITH 2018dfg/2005P BUT NO SOURCES IN THE OVERLAP REGION AND SATURATED,hst_16287_ce_wfc3_uvis_f275w_iebjce,SN2018DFG-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,64.89485776499986,1800.0,3,59261.90991415,59261.93557357,
SN2002fw,MXDF,53.15632916666666,-27.77961111111111,Ia      ,arx  ,FROM UDF-MOSAIC,hst_12534_1e_wfc3_uvis_f275w_ibox1e,HUDF-UVIS,12534,"Teplitz, Harry",WFC3/UVIS,F275W,18.436817154279854,5890.0,3,55991.28780673,55991.41936912,
SN2002ig,SN2002ig,24.153,0.9237805555555555,II      ,P104 ,,hst_16287_dw_wfc3_uvis_f275w_iebjdw,SN2002IG-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,1.6029995594576126e-10,1650.0,3,59147.95355607,59147.97700475,
SN2003E,SN2003E,69.79532916666668,-24.176811111111114,II      ,P104 ,,hst_16287_ed_wfc3_uvis_f275w_iebjed,SN2003E-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,10.741364901484419,1650.0,3,59447.15499275,59447.1784418,
SN2003bl,SN2016P,209.3777083333333,6.093444444444444,II      ,P103 ,,iebjcc010,SN2016P-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,8.165881452490222,1650.0,3,59340.74528422454,59340.76873325231,A public UV snapshot survey of core-collapse supernova hosts in IF
SN2003jg,SN2003jg,146.40795833333334,-31.189169444444445,Ibc     ,P114 ,,hst_skycell-p0667x09y06_wfc3_uvis_f275w_all,NGC2997-E,,,WFC3/UVIS,F275W,85.52778753226175,4150.0,3,60399.44450328,60400.64276715,
SN2004aw,SN2004aw,179.45932916666663,25.26531111111111,Ic      ,P97  ,,iebj24010,SN2004AW-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,13.444771284444714,1650.0,3,59323.266741782405,59323.29019085648,A public UV snapshot survey of core-collapse supernova hosts in IF
SN2004bv,SN2008fq,306.2764208333333,-24.814919444444445,Ia      ,P97  ,,hst_16287_35_wfc3_uvis_f275w_iebj35,SN2008FQ-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,20.502543057267363,1500.0,3,59358.96540099,59358.98597967,
SN2004dg,NGC5806,224.9956708333333,1.8904388888888888,II      ,arx  ,,hst_17506_28_wfc3_uvis_f275w_if8c28,SN2004DG,17506,"Jacobson-Galan, Wynn Vicente",WFC3/UVIS,F275W,0.02499502914165339,2328.0,3,60342.96168864,60342.99345954,
SN2004dk,SN2004dk,245.4538791666667,-2.2714694444444445,Ib      ,P97  ,JOINED WITH SN2020hvp from P111,hst_16287_32_wfc3_uvis_f275w_iebj32,SN2004DK-HOST,16287,"Lyman, Joseph",WFC3/UVIS,F275W,27.276048644627842,1500.0,3,59364.91658136,59364.93716005,
