Supernova,ra_deg,dec_deg,survey,local_fits,fits_path,live_checked,live_available,live_message
SN2023abqf,146.58379166666666,3.0712722222222224,LegacySurvey,True,outputs/images/SN2023abqf/LegacySurvey/LegacySurvey_r.fits,False,,
SN2023abqf,146.58379166666666,3.0712722222222224,DES,False,,True,False,empty
SN2023abqf,146.58379166666666,3.0712722222222224,PanSTARRS,True,outputs/images/SN2023abqf/PanSTARRS/PanSTARRS_r.fits,False,,
SN2023abqf,146.58379166666666,3.0712722222222224,SkyMapper,True,outputs/images/SN2023abqf/SkyMapper/SkyMapper_r.fits,False,,
CSP12J,91.75662499999997,-69.35475,LegacySurvey,True,outputs/images/CSP12J/LegacySurvey/LegacySurvey_r.fits,False,,
CSP12J,91.75662499999997,-69.35475,DES,False,,True,False,empty
CSP12J,91.75662499999997,-69.35475,PanSTARRS,False,,True,False,empty
CSP12J,91.75662499999997,-69.35475,SkyMapper,True,outputs/images/CSP12J/SkyMapper/SkyMapper_r.fits,False,,
CSP12N,189.5674583333333,-15.108930555555554,LegacySurvey,True,outputs/images/CSP12N/LegacySurvey/LegacySurvey_r.fits,False,,
CSP12N,189.5674583333333,-15.108930555555554,DES,False,,True,False,empty
CSP12N,189.5674583333333,-15.108930555555554,PanSTARRS,True,outputs/images/CSP12N/PanSTARRS/PanSTARRS_r.fits,False,,
CSP12N,189.5674583333333,-15.108930555555554,SkyMapper,True,outputs/images/CSP12N/SkyMapper/SkyMapper_r.fits,False,,
CSP13Q,30.58983333333333,-65.73573888888889,LegacySurvey,True,outputs/images/CSP13Q/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13Q,30.58983333333333,-65.73573888888889,DES,True,outputs/images/CSP13Q/DES/DES_r.fits,False,,
CSP13Q,30.58983333333333,-65.73573888888889,PanSTARRS,False,,True,False,empty
CSP13Q,30.58983333333333,-65.73573888888889,SkyMapper,True,outputs/images/CSP13Q/SkyMapper/SkyMapper_r.fits,False,,
CSP13V,153.29166666666666,-16.531666666666666,LegacySurvey,True,outputs/images/CSP13V/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13V,153.29166666666666,-16.531666666666666,DES,False,,True,False,empty
CSP13V,153.29166666666666,-16.531666666666666,PanSTARRS,True,outputs/images/CSP13V/PanSTARRS/PanSTARRS_r.fits,False,,
CSP13V,153.29166666666666,-16.531666666666666,SkyMapper,True,outputs/images/CSP13V/SkyMapper/SkyMapper_r.fits,False,,
CSP13aad,26.538916666666662,-67.46669444444444,LegacySurvey,True,outputs/images/CSP13aad/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13aad,26.538916666666662,-67.46669444444444,DES,False,,True,False,empty
CSP13aad,26.538916666666662,-67.46669444444444,PanSTARRS,False,,True,False,empty
CSP13aad,26.538916666666662,-67.46669444444444,SkyMapper,True,outputs/images/CSP13aad/SkyMapper/SkyMapper_r.fits,False,,
CSP13aaf,148.78424999999996,6.808722222222222,LegacySurvey,True,outputs/images/CSP13aaf/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13aaf,148.78424999999996,6.808722222222222,DES,False,,True,False,empty
CSP13aaf,148.78424999999996,6.808722222222222,PanSTARRS,True,outputs/images/CSP13aaf/PanSTARRS/PanSTARRS_r.fits,False,,
CSP13aaf,148.78424999999996,6.808722222222222,SkyMapper,True,outputs/images/CSP13aaf/SkyMapper/SkyMapper_r.fits,False,,
CSP13aam,78.69791666666666,-66.84141666666666,LegacySurvey,True,outputs/images/CSP13aam/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13aam,78.69791666666666,-66.84141666666666,DES,False,,True,False,empty
CSP13aam,78.69791666666666,-66.84141666666666,PanSTARRS,False,,True,False,empty
CSP13aam,78.69791666666666,-66.84141666666666,SkyMapper,True,outputs/images/CSP13aam/SkyMapper/SkyMapper_r.fits,False,,
CSP13aao,89.62658333333331,-63.56063888888889,LegacySurvey,True,outputs/images/CSP13aao/LegacySurvey/LegacySurvey_r.fits,False,,
CSP13aao,89.62658333333331,-63.56063888888889,DES,False,,True,False,empty
CSP13aao,89.62658333333331,-63.56063888888889,PanSTARRS,False,,True,False,empty
CSP13aao,89.62658333333331,-63.56063888888889,SkyMapper,True,outputs/images/CSP13aao/SkyMapper/SkyMapper_r.fits,False,,
CSP13aaq,64.94670833333333,-63.72278888888889,LegacySurvey,True,outputs/images/CSP13aaq/LegacySurvey/LegacySurvey_r.fits,False,,
