sn_name,sn_ra_deg,sn_dec_deg,sep_arcsec,obs_id,target_name,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level
SN2014dl,247.442042,8.641833,0.0016873661042332289,hst_14779_36_wfc3_uvis_f275w_id7636,SN2014DL,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57932.48944593,57932.50092721,858.0,3
SN2014dl,247.442042,8.641833,0.0016873661042332289,id7636010,SN2014DL,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57932.489445914354,57932.50092719907,858.0,3
SN2015F,114.065667,-69.506389,0.0005800562503405709,hst_skycell-p0084x20y12_wfc3_uvis_f275w_all,SN2015F,WFC3/UVIS,F275W,,,,57708.67400793,57708.68548921,858.0,3
SN2015F,114.065667,-69.506389,0.0005800562503405709,hst_skycell-p0084x20y13_wfc3_uvis_f275w_all,SN2015F,WFC3/UVIS,F275W,,,,57708.67400793,57708.68548921,858.0,3
SN2015F,114.065667,-69.506389,0.0005800562503405709,hst_14779_41_wfc3_uvis_f275w_id7641,SN2015F,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57708.67400793,57708.68548921,858.0,3
SN2015F,114.065667,-69.506389,0.0005800562503405709,id7641010,SN2015F,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57708.67400795139,57708.68548920139,858.0,3
SNhunt281,226.375292,1.634,0.001199392070588923,hst_skycell-p1379x18y09_wfc3_uvis_f275w_all,SN2015BP,WFC3/UVIS,F275W,,,,57866.25495346,57866.26643473,858.0,3
SNhunt281,226.375292,1.634,0.001199392070588923,hst_skycell-p1379x18y10_wfc3_uvis_f275w_all,SN2015BP,WFC3/UVIS,F275W,,,,57866.25495346,57866.26643473,858.0,3
SNhunt281,226.375292,1.634,0.001199392070588923,hst_14779_43_wfc3_uvis_f275w_id7643,SN2015BP,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",,57866.25495346,57866.26643473,858.0,3
SNhunt281,226.375292,1.634,0.001199392070588923,id7643010,SN2015BP,WFC3/UVIS,F275W,14779,"Graham, Melissa Lynn",A NUV Imaging Survey for Circumstellar Material in Type Ia Supernovae,57866.25495347222,57866.26643472222,858.0,3
